,factual_accuracy,consistency,coherence,creativity,perplexity,qa_capability
FP16,1.0,0.5093187743523346,0.6,0.725,16.506351633569743,1.0
INT8,0.9,0.4864790982466774,0.6,0.6509433962264151,16.393917628145754,1.0
INT4,0.8,0.47107225761849775,0.6,0.6772486772486772,15.234854999697099,0.8
